Date,Closing Price ,,SMA,Lower BB,Upper BB,Compare
1/1/2001,48.5,,,,,
1/2/2001,47.3,,,,,
1/3/2001,45.5,,,,,
1/4/2001,50,,,,,
1/5/2001,51,,,,,
1/8/2001,53,,,,,
1/9/2001,53,,,,,
1/10/2001,56,,,,,
1/11/2001,58,,,,,
1/12/2001,58.5,,,,,
1/15/2001,59.5,,,,,
1/16/2001,57.5,,,,,
1/17/2001,58.5,,,,,
1/18/2001,59.5,,,,,
1/19/2001,59,,,,,
1/22/2001,57,,,,,
1/23/2001,55.5,,,,,
1/25/2001,55.5,,,,,
1/29/2001,54.5,,,,,
1/30/2001,56,,,,,
1/31/2001,56,,54.67,41.95,67.38,
2/1/2001,54.5,,55.04,43.07,67.01,
2/2/2001,52.5,,55.4,44.73,66.07,
2/5/2001,53,,55.75,47.37,64.13,
2/6/2001,53.5,,55.9,48.29,63.51,
2/7/2001,51.5,,56.03,49.02,63.03,
2/8/2001,52.5,,55.95,48.57,63.33,
2/9/2001,52,,55.93,48.44,63.41,
2/12/2001,52,,55.73,47.8,63.65,
2/13/2001,51.5,,55.43,47.29,63.56,
2/14/2001,51,,55.08,46.84,63.31,
2/15/2001,52.5,,54.65,46.61,62.69,
2/16/2001,53.5,,54.4,46.5,62.3,
2/19/2001,56,,54.15,46.78,61.52,
2/20/2001,57.5,,53.98,47.49,60.46,
2/21/2001,56.5,,53.9,47.91,59.89,
2/22/2001,54.5,,53.88,48,59.75,
2/23/2001,52,,53.83,48.04,59.61,
2/26/2001,55,,53.65,47.87,59.43,
2/27/2001,56,,53.68,47.85,59.5,
2/28/2001,57,,53.68,47.85,59.5,
3/1/2001,57,,53.73,47.68,59.77,
3/2/2001,56.5,,53.85,47.43,60.27,
3/5/2001,57.5,,54.05,47.47,60.63,
3/6/2001,59.5,,54.28,47.35,61.2,
3/7/2001,60.5,,54.58,46.85,62.3,
3/8/2001,60,,55.03,46.66,63.39,
3/9/2001,60,,55.4,46.6,64.2,
3/12/2001,57,,55.8,46.83,64.77,
3/13/2001,60,,56.05,47.47,64.63,
3/15/2001,64,,56.48,48.14,64.81,
3/16/2001,60,,57.13,48.29,65.96,
3/19/2001,57.5,,57.5,49.1,65.9,
3/20/2001,59,,57.7,49.79,65.61,
3/21/2001,58,,57.85,49.99,65.71,
3/22/2001,57,,57.88,50.01,65.74,
3/23/2001,57,,57.9,50.07,65.73,
3/26/2001,61,,58.03,50.54,65.51,
3/27/2001,61.5,,58.48,52.07,64.88,
3/28/2001,58,,58.8,52.58,65.02,
3/29/2001,56.5,,58.9,52.97,64.83,
3/30/2001,57.5,,58.88,52.86,64.89,
4/2/2001,56.5,,58.9,52.95,64.85,
4/3/2001,54,,58.9,52.95,64.85,
4/4/2001,55.5,,58.73,51.97,65.48,
4/5/2001,58.5,,58.53,51.46,65.59,
4/6/2001,59,,58.43,51.5,65.35,
4/9/2001,61,,58.38,51.53,65.22,
4/10/2001,63.5,,58.43,51.44,65.41,
4/11/2001,63.5,,58.75,51.06,66.44,
4/12/2001,61,,58.93,50.63,67.22,
4/13/2001,61,,58.78,51.13,66.42,
4/16/2001,61,,58.83,51.08,66.57,
4/17/2001,62,,59,51.18,66.82,
4/18/2001,67.5,,59.15,51.08,67.22,
4/19/2001,67.5,,59.63,49.86,69.39,
4/20/2001,66,,60.15,49.25,71.05,
4/23/2001,65.5,,60.6,49.26,71.94,
4/24/2001,66,,60.83,49.02,72.63,
4/25/2001,65.5,,61.05,48.75,73.35,
4/26/2001,66.5,,61.43,48.98,73.87,
4/27/2001,67,,61.93,49.54,74.31,
4/30/2001,70.5,,62.4,49.99,74.81,
5/1/2001,70.5,,63.1,50.29,75.91,
5/2/2001,68.5,,63.93,51.91,75.94,
5/3/2001,66,,64.58,53.78,75.37,
5/4/2001,67.5,,64.95,55.01,74.89,
5/7/2001,67.5,,65.38,56.25,74.5,
5/8/2001,65,,65.7,57.02,74.38,
5/9/2001,64.5,,65.78,57.21,74.34,
5/10/2001,62,,65.83,57.36,74.29,
5/11/2001,59.5,,65.88,57.66,74.09,
5/14/2001,58,,65.8,57.12,74.48,
5/15/2001,58.5,,65.65,56,75.3,
5/16/2001,59.5,,65.48,54.95,76,
5/17/2001,62,,65.08,53.93,76.22,
5/18/2001,62,,64.8,53.61,75.99,
5/21/2001,63,,64.6,53.3,75.9,
5/22/2001,62,,64.48,53.14,75.81,
5/23/2001,60,,64.28,52.88,75.67,
5/24/2001,60,,64,52.29,75.71,
5/25/2001,60.5,,63.68,51.81,75.54,
5/28/2001,59,,63.35,51.55,75.15,
5/29/2001,57,,62.78,51.78,73.77,
5/30/2001,57.5,,62.1,51.9,72.3,
5/31/2001,57,,61.55,51.97,71.13,
6/1/2001,55,,61.1,51.59,70.61,
6/4/2001,55,,60.48,51.26,69.69,
6/5/2001,57.5,,59.85,51.36,68.34,
6/6/2001,56.5,,59.48,51.68,67.27,
6/7/2001,54.5,,59.08,51.9,66.25,
6/8/2001,54,,58.7,51.22,66.18,
6/11/2001,52.5,,58.43,50.34,66.51,
6/12/2001,52.5,,58.15,49.14,67.16,
6/13/2001,53,,57.85,48.08,67.62,
6/14/2001,53.5,,57.53,47.31,67.74,
6/15/2001,55.5,,57.1,47.06,67.14,
6/18/2001,53,,56.78,47.31,66.24,
6/19/2001,53.5,,56.28,47.58,64.97,
6/20/2001,52,,55.85,47.97,63.73,
6/21/2001,50,,55.45,47.74,63.16,
6/22/2001,50,,54.95,47.12,62.78,
6/25/2001,50.5,,54.43,46.96,61.89,
6/26/2001,49.9,,54,46.83,61.17,
6/27/2001,50.5,,53.65,46.3,60.99,
6/28/2001,54,,53.3,46.2,60.39,
6/29/2001,55,,53.15,46.52,59.77,
7/2/2001,56.5,,53.15,46.52,59.77,
7/3/2001,55.5,,53.22,46.32,60.12,
7/4/2001,53.5,,53.12,46.7,59.54,
7/5/2001,51.5,,52.97,47,58.94,
7/6/2001,51,,52.82,46.87,58.77,
7/9/2001,50.5,,52.67,46.66,58.68,
7/10/2001,51.5,,52.57,46.39,58.75,
7/11/2001,50.5,,52.52,46.3,58.74,
7/12/2001,51.5,,52.4,46.04,58.75,
7/13/2001,51.5,,52.3,45.96,58.63,
7/16/2001,52.5,,52.1,46.17,58.02,
7/17/2001,51,,52.07,46.17,57.97,
7/18/2001,50.5,,51.95,46.09,57.8,
7/19/2001,51,,51.87,45.94,57.8,
7/20/2001,49.9,,51.92,46.1,57.74,
7/23/2001,50.5,,51.92,46.08,57.75,
7/24/2001,50,,51.92,46.08,57.75,
7/25/2001,49.3,,51.92,46.1,57.74,
7/26/2001,50,,51.86,45.85,57.87,
7/27/2001,52.5,,51.66,45.72,57.6,
7/30/2001,53.5,,51.54,46.05,57.02,
7/31/2001,54.5,,51.39,46.9,55.87,
8/1/2001,54.5,,51.34,47.26,55.41,
8/2/2001,53,,51.39,47.01,55.76,
8/3/2001,52,,51.46,46.95,55.97,
8/6/2001,52.5,,51.51,47,56.02,
8/7/2001,52.5,,51.61,47.11,56.11,
8/8/2001,51.5,,51.66,47.13,56.19,
8/9/2001,50,,51.71,47.25,56.17,
8/10/2001,50.5,,51.64,47.03,56.24,
8/13/2001,51,,51.59,46.92,56.25,
8/14/2001,51.5,,51.51,46.87,56.15,
8/15/2001,50.5,,51.54,46.91,56.16,
8/16/2001,48.1,,51.54,46.91,56.16,
8/17/2001,46,,51.39,46.23,56.55,below
8/20/2001,44.5,,51.2,44.95,57.44,below
8/21/2001,45.5,,50.9,43.21,58.58,
8/22/2001,45.1,,50.67,42.18,59.16,
8/23/2001,44.4,,50.46,41.22,59.7,
8/24/2001,45.4,,50.18,40.08,60.28,
8/27/2001,45.1,,49.83,39.38,60.27,
8/28/2001,45.6,,49.41,38.84,59.97,
8/29/2001,45.8,,48.96,38.75,59.17,
8/30/2001,43.9,,48.53,38.9,58.15,
8/31/2001,43.3,,48.07,38.51,57.63,
9/3/2001,42.9,,47.64,37.99,57.28,
9/4/2001,44.7,,47.16,37.65,56.66,
9/5/2001,43.3,,46.77,37.93,55.6,
9/6/2001,42.1,,46.36,37.89,54.82,
9/7/2001,41.2,,45.96,37.45,54.47,
